time,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,relative_humidity_2m_max
2015-05-23,28.5,17.2,0.0,7.6,83
2015-05-23,27.5,16.6,0.0,7.6,86
2015-05-23,31.5,15.6,0.0,7.6,85
2015-05-23,29.1,16.7,0.0,10.0,93
2015-05-23,28.5,17.6,0.0,8.8,88
2015-05-23,31.4,15.5,0.0,7.6,85
2015-05-24,28.6,16.7,0.0,11.3,82
2015-05-24,24.1,17.8,0.0,11.2,89
2015-05-24,29.8,15.2,0.0,7.2,75
2015-05-24,26.7,16.7,0.0,12.8,72
2015-05-24,26.8,16.7,0.0,12.8,72
2015-05-24,28.6,16.7,0.0,11.3,82
2015-05-24,29.9,15.3,0.0,7.2,75
2015-05-24,29.8,15.1,0.0,7.2,75
2015-05-24,29.9,15.3,0.0,7.2,75
2015-05-24,26.1,19.5,0.0,11.7,88
2015-05-24,28.6,16.7,0.0,11.3,82
2015-05-24,29.9,15.3,0.0,7.2,75
2015-05-24,26.6,16.6,0.0,12.8,72
2015-05-24,28.2,15.8,0.0,16.5,70
2015-05-24,26.4,11.6,0.0,20.3,87
2015-05-25,24.5,18.5,0.0,16.0,65
2015-05-25,26.8,17.3,0.0,14.7,78
2015-05-25,26.8,17.3,0.0,14.7,78
2015-05-25,30.3,14.5,0.0,9.7,84
2015-05-25,30.2,14.5,0.0,9.7,84
2015-05-25,21.6,17.8,0.1,10.6,94
2015-05-25,30.3,14.5,0.0,9.7,84
2015-05-25,26.3,15.6,0.0,12.2,83
2015-05-26,23.4,18.1,0.0,18.8,78
2015-05-26,25.6,15.2,0.0,10.9,74
2015-05-26,30.1,15.4,0.0,10.9,79
2015-05-26,30.2,15.6,0.0,10.9,79
2015-05-26,30.2,15.5,0.0,10.9,79
2015-05-26,27.2,14.8,0.0,10.8,85
2015-05-27,25.5,15.6,7.7,5.8,97
2015-05-27,21.7,18.2,1.3,14.3,90
2015-05-27,21.7,18.2,1.3,14.3,90
2015-05-27,23.9,17.7,3.6,12.4,86
2015-05-27,23.9,17.7,3.6,12.4,86
2015-05-27,26.1,16.4,6.3,12.6,81
2015-05-27,26.1,18.0,6.4,11.6,88
2015-05-28,22.0,16.6,10.0,8.8,85
2015-05-28,22.0,16.6,10.0,8.8,85
2015-05-28,20.7,17.0,0.3,32.7,91
2015-05-29,19.3,15.2,6.8,16.8,83
2015-05-29,20.0,16.1,5.2,19.1,85
2015-05-29,22.3,10.9,0.0,16.6,81
2015-05-29,19.5,14.5,5.5,18.6,86
2015-05-29,19.5,14.5,5.5,18.6,86
2015-05-29,19.4,14.4,5.5,18.6,86
2015-05-29,19.9,15.9,5.2,19.1,86
2015-05-29,19.5,14.5,5.5,18.6,86
2015-05-30,24.2,13.0,0.0,12.4,98
2015-05-30,25.2,13.5,0.0,13.7,89
2015-05-30,23.0,12.9,0.0,8.3,97
2015-05-30,23.7,14.2,0.0,8.3,94
2015-05-30,24.5,16.3,0.0,12.1,85
2015-05-30,24.2,13.1,0.0,12.4,98
2015-05-31,26.3,17.3,0.0,8.2,90
2015-05-31,25.2,16.1,0.0,9.1,93
2015-05-31,24.3,13.4,0.1,15.4,98
2015-05-31,22.0,16.0,0.0,14.5,81
2015-05-31,26.2,16.5,0.0,14.5,76
2015-05-31,25.4,18.3,0.0,13.0,79
2015-05-31,26.6,15.5,0.0,12.6,90
2015-05-31,26.5,15.4,0.0,12.6,90
2015-05-31,26.6,15.5,0.0,12.6,90
2015-05-31,26.4,15.3,0.0,12.6,90
2015-05-31,24.1,16.2,0.0,19.7,83
2015-06-01,24.8,16.9,0.3,13.1,94
2015-06-01,25.0,15.1,0.0,12.2,88
2015-06-01,26.2,17.7,0.0,17.7,82
2015-06-02,26.2,17.1,0.0,21.2,80
2015-06-02,27.6,17.6,0.0,9.6,86
